exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,qed,DRD2,model_samples,neg-loglike,D_loss_0,Accuracy_0,Mean_ypred_0
mingan,70,6.59576511383,32.490625,32000,29460,18134,13866,1.0,1.0,1.0,0.905319947962,0.913750413588,0.580822276228,0.527623484288,0.613753505062,0.513716292823,0.409796674911,mingan_70,230.079421997,2.09800219536,1.0,0.501223360282
mingan,71,6.60959768295,31.93875,6400,6113,3822,2578,1.0,1.0,1.0,0.910793252897,0.915737833595,0.57429844187,0.527781362303,0.629407514024,0.513078972999,0.400244474883,mingan_71,201.790023804,1.51646614075,1.0,0.501237087216
mingan,72,6.63029098511,31.5065625,6400,6086,3941,2459,1.0,1.0,1.0,0.905419083241,0.917317939609,0.57241595539,0.524882045676,0.643229611735,0.508749261466,0.403717560716,mingan_72,212.606704712,1.01751863956,1.0,0.500949218834
mingan,73,6.64980506897,30.8359375,6400,6037,4080,2320,1.0,1.0,1.0,0.930695323409,0.920821078431,0.567253046816,0.526188272705,0.654067835618,0.506518850292,0.398867372666,mingan_73,210.21774292,0.649844110012,1.0,0.500759183797
mingan,74,6.65832805634,30.30078125,6400,5984,4098,2302,1.0,1.0,1.0,0.927373423471,0.926146900927,0.56613329944,0.521905835763,0.669185809074,0.506161060618,0.394567331823,mingan_74,183.587051392,0.391033232212,1.0,0.500722674895
mingan,75,6.67397785187,29.8703125,6400,5966,4074,2326,1.0,1.0,1.0,0.93261182371,0.931799214531,0.573358651986,0.520197097111,0.676383594654,0.508091266904,0.39148016106,mingan_75,185.727035522,0.220251277089,1.0,0.499902225555
mingan,76,6.70201158524,29.35765625,6400,5886,3963,2437,1.0,1.0,1.0,0.942284961562,0.935553873328,0.580444741765,0.520548604784,0.685866689224,0.510523735162,0.396763719131,mingan_76,190.820220947,0.116103649139,1.0,0.500527689079
mingan,77,6.69780445099,28.93796875,6400,5813,3905,2495,1.0,1.0,1.0,0.922052202984,0.937925736236,0.581935807423,0.518935418646,0.69624028445,0.517558329208,0.395455242855,mingan_77,185.535385132,0.0597662776709,1.0,0.50134724604
mingan,78,6.68182945251,27.86703125,6400,5604,4033,2367,1.0,1.0,1.0,0.940885036883,0.940602529135,0.579802735059,0.516157720671,0.711151647814,0.535501358848,0.381740692131,mingan_78,153.534835815,0.0297523364425,1.0,0.50145348202
mingan,79,6.66108846664,26.92234375,6400,5414,4240,2160,1.0,1.0,1.0,0.93648188929,0.946580188679,0.574543358776,0.510356831504,0.724668676197,0.544808936692,0.382115104169,mingan_79,157.967254639,0.0138287739828,1.0,0.500453509901
mingan,80,6.65018367767,26.66934375,32000,22949,21949,10051,1.0,1.0,1.0,0.953857492736,0.952357738394,0.579380725439,0.510072002392,0.726227793956,0.54533661331,0.375229189698,mingan_80,172.744155884,0.00670703826472,1.0,0.500613308052
mingan,81,6.66559410095,26.78,6400,5262,4483,1917,1.0,1.0,1.0,0.944857307769,0.959647557439,0.575767277532,0.512708510248,0.725873098492,0.540959830918,0.374496426279,mingan_81,176.323699951,0.00302499788813,1.0,0.500682115555
mingan,82,6.6884355545,27.28546875,6400,5280,4302,2098,1.0,1.0,1.0,0.954168937283,0.960541608554,0.579431503854,0.511697804664,0.723502364976,0.541633113422,0.37728490959,mingan_82,139.348571777,0.00187846447807,1.0,0.500766767044
mingan,83,6.68276071548,27.13296875,6400,5223,4224,2176,1.0,1.0,1.0,0.941878599758,0.959730113636,0.572268885952,0.507571389202,0.727726777224,0.551951755673,0.387004226339,mingan_83,146.706130981,0.00155627960339,1.0,0.501100024715
mingan,84,6.66165018082,26.6665625,6400,5101,4330,2070,1.0,1.0,1.0,0.950345474446,0.95747113164,0.568514827009,0.507535580061,0.734879488364,0.559816504083,0.382475638019,mingan_84,145.394348145,0.00109903444536,1.0,0.500531032364
mingan,85,6.62542486191,25.94125,6400,4984,4699,1701,1.0,1.0,1.0,0.942240105959,0.959512662269,0.558019326786,0.504445466491,0.740148864718,0.562329864755,0.394903991118,mingan_85,159.797485352,0.000908798887394,1.0,0.500775440013
mingan,86,6.58715248108,25.1365625,6400,4772,4878,1522,1.0,1.0,1.0,0.956391406326,0.958794587946,0.557595993989,0.5026616345,0.74485284644,0.569409144123,0.385287977538,mingan_86,161.995880127,0.000808726297691,1.0,0.501081801475
mingan,87,6.56342792511,24.79875,6400,4662,4666,1734,1.0,1.0,1.0,0.957078046102,0.960876553793,0.549341957473,0.490156165642,0.745341822185,0.574584303587,0.398588740596,mingan_87,169.216766357,0.00119082431775,1.0,0.500765380566
mingan,88,6.55190992355,24.644375,6400,4512,4702,1698,1.0,1.0,1.0,0.957183390781,0.960282858358,0.549142003738,0.484128256928,0.746907584179,0.579307535399,0.401973568074,mingan_88,159.252059937,0.000653462600894,1.0,0.500750317218
mingan,89,6.55455875397,24.861875,6400,4604,4714,1686,1.0,1.0,1.0,0.958508668849,0.965676707679,0.549549365629,0.485033763301,0.740524201773,0.578055081561,0.414554021905,mingan_89,168.534286499,0.000640140904579,1.0,0.500856623793
mingan,90,6.5767250061,25.50896875,32000,18697,23763,8237,1.0,1.0,1.0,0.95862051357,0.964061776712,0.555718486249,0.483343354105,0.736900936317,0.573827547844,0.426024536371,mingan_90,183.429840088,0.00100554164965,1.0,0.500664345973
