exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
testCNN,0,6.29838275909,32.9408125,32000,31977,11646,20354,0.999828267216,0.999828267216,0.999879787051,0.379333105302,0.903520522068,0.541607488253,0.491450938487,0.593538280323,testCNN_0,390.704864502,1.09395301342,0.9375,1.01256871223,0.875
testCNN,1,6.26187849045,30.543125,6400,6400,2302,4098,0.999565595135,0.999565595135,0.999695916594,0.44542672089,0.917593397046,0.520594184414,0.513040252317,0.605711929198,testCNN_1,354.132751465,1.11095404625,0.6875,0.707818984985,0.9375
testCNN,2,6.26531982422,30.58875,6400,6398,2196,4204,1.0,1.0,1.0,0.430255363206,0.910154826958,0.530117946297,0.514769604554,0.597265383573,testCNN_2,275.887573242,0.542967915535,0.9375,0.456001639366,1.0
testCNN,3,6.28604269028,31.73,6400,6400,2060,4340,1.0,1.0,1.0,0.457229129022,0.914878640777,0.544674190287,0.511901888418,0.60229180646,testCNN_3,266.551849365,0.368034482002,0.9375,0.338890850544,0.9375
testCNN,4,6.31314468384,33.41546875,6400,6397,1988,4412,1.0,1.0,1.0,0.423360352873,0.905734406439,0.553783957463,0.497457592773,0.598053144159,testCNN_4,161.859909058,0.302447497845,0.875,0.236525863409,0.9375
testCNN,5,6.29543447495,33.32625,6400,6400,2095,4305,1.0,1.0,1.0,0.421863992491,0.914081145585,0.560930115136,0.48891184972,0.619690584001,testCNN_5,274.023132324,0.248677313328,0.9375,0.162201926112,1.0
testCNN,6,6.27471637726,32.6546875,6400,6400,2259,4141,0.999557326251,0.999557326251,0.999690128375,0.395380559892,0.918813634351,0.559987379076,0.492300721834,0.625219608842,testCNN_6,185.443084717,0.118311680853,1.0,0.0892974734306,1.0
testCNN,7,6.22646951675,31.1528125,6400,6396,2637,3763,1.0,1.0,1.0,0.387347842514,0.923151308305,0.557881703046,0.48456429866,0.654353275185,testCNN_7,214.260528564,0.0969920381904,1.0,0.0817170143127,1.0
testCNN,8,6.18699407578,29.81328125,6400,6392,3126,3274,1.0,1.0,1.0,0.338600848655,0.931605886116,0.555663470669,0.481345018423,0.672863498564,testCNN_8,217.241638184,0.0837622433901,1.0,0.0576226264238,1.0
testCNN,9,6.15638017654,28.876875,6400,6382,3353,3047,1.0,1.0,1.0,0.410028460933,0.932403817477,0.569113659494,0.483257057546,0.690591267067,testCNN_9,204.73538208,0.0381406843662,1.0,0.0269455984235,1.0
